[INFO] 2023/11/22 19:04:55: Server check: No server running on port 49155
[INFO] 2023/11/22 19:04:55: Server is running...
[INFO] 2023/11/22 19:04:55: Server successfully started on port 49155
[INFO] 2023/11/22 19:05:13: Client is running...
[INFO] 2023/11/22 19:05:13: Client connected to server on port 49155
[INFO] 2023/11/22 19:05:13: Client successfully connected to server at localhost:49155
[DEBUG] 2023/11/22 19:05:21: handleCellClick: Click event received by user: [SERVER]
[INFO] 2023/11/22 19:05:21: Placing stone at: 6, 9 by player 1
[DEBUG] 2023/11/22 19:05:21: Updated board state: [0,0] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [0,1] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [0,2] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [0,3] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [0,4] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [0,5] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [0,6] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [0,7] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [0,8] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [0,9] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [0,10] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [0,11] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [0,12] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [0,13] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [0,14] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [0,15] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [0,16] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [0,17] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [0,18] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [1,0] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [1,1] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [1,2] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [1,3] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [1,4] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [1,5] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [1,6] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [1,7] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [1,8] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [1,9] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [1,10] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [1,11] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [1,12] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [1,13] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [1,14] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [1,15] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [1,16] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [1,17] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [1,18] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [2,0] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [2,1] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [2,2] to state: 0
[DEBUG] 2023/11/22 19:05:21: Updated board state: [2,3] to state: 0
